Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Vampire Lacerator",1,"Creature - Vampire Warrior",B,"a25","114",common,b,"Not Owned",Non-foil,false,,"","Ambition","",67142,
"Fretwork Colony",2,"Creature - Insect",B,"kld","83",uncommon,b,"Not Owned",Non-foil,false,,"","Ambition","",61949,
"Audacious Thief",3,"Creature - Human Rogue",B,"m20","84",common,b,"Not Owned",Non-foil,false,,"","Ambition","",73067,
"Phyrexian Rager",3,"Creature - Horror",B,"gvl","39",common,b,"Not Owned",Non-foil,false,,"","Ambition","",,
"Dread Presence",4,"Creature - Nightmare",B,"m20","96",rare,b,"Not Owned",Non-foil,false,,"","Ambition","",73091,
"Howling Banshee",4,"Creature - Spirit",B,"ddd","43",uncommon,b,"Not Owned",Non-foil,false,,"","Ambition","",34926,
"Vengeful Warchief",5,"Creature - Orc Warrior",B,"m20","121",uncommon,b,"Not Owned",Non-foil,false,,"","Ambition","",73141,
"Essence Harvest",3,"Sorcery",B,"avr","100",common,b,"Not Owned",Non-foil,false,,"","Ambition","",44195,
"Parting Thoughts",3,"Sorcery",B,"c16","15",uncommon,b,"Not Owned",Non-foil,false,,"","Ambition","",,
"Toxic Deluge",3,"Sorcery",B,"c13","96",rare,b,"Not Owned",Non-foil,false,,"","Ambition","",51366,
"Agonizing Syphon",4,"Sorcery",B,"m20","83",common,b,"Not Owned",Non-foil,false,,"","Ambition","",73065,
"Ambition's Cost",4,"Sorcery",B,"c20","129",uncommon,b,"Not Owned",Non-foil,false,,"","Ambition","",,
"Thriving Moor",0,"Land",B,"jmp","37",common,l,"Not Owned",Non-foil,false,,"","Ambition","",,
"Mistral Singer",3,"Creature - Siren",U,"m21","58",common,u,"Not Owned",Non-foil,false,,"","Ancient Magics","",81343,
"Sea Gate Oracle",3,"Creature - Human Wizard",U,"ddm","10",common,u,"Not Owned",Non-foil,false,,"","Ancient Magics","",52401,
"Archaeomancer",4,"Creature - Human Wizard",U,"m14","43",common,u,"Not Owned",Non-foil,false,,"","Ancient Magics","",49321,
"Disciple of the Ring",5,"Creature - Human Wizard",U,"ori","53",mythic,u,"Not Owned",Non-foil,false,,"","Ancient Magics","",57918,
"Stormwing Entity",5,"Creature - Elemental",U,"m21","73",rare,u,"Not Owned",Non-foil,false,,"","Ancient Magics","",81373,
"Cryptic Serpent",7,"Creature - Serpent",U,"akh","48",uncommon,u,"Not Owned",Non-foil,false,,"","Ancient Magics","",63698,
"Remand",2,"Instant",U,"ddm","26",uncommon,u,"Not Owned",Non-foil,false,,"","Ancient Magics","",52505,
"Exclude",3,"Instant",U,"mh1","48",uncommon,u,"Not Owned",Non-foil,false,,"","Ancient Magics","",72468,
"Jace's Ingenuity",5,"Instant",U,"ddm","32",uncommon,u,"Not Owned",Non-foil,false,,"","Ancient Magics","",52403,
"Ponder",1,"Sorcery",U,"m10","68",common,u,"Not Owned",Non-foil,false,,"","Ancient Magics","",32923,
"Preordain",1,"Sorcery",U,"ddi","24",common,u,"Not Owned",Non-foil,false,,"","Ancient Magics","",43746,
"Talrand's Invocation",4,"Sorcery",U,"jmp","182",uncommon,u,"Not Owned",Non-foil,false,,"","Ancient Magics","",,
"Thriving Isle",0,"Land",U,"jmp","36",common,l,"Not Owned",Non-foil,false,,"","Ancient Magics","",,
"Anointed Chorister",1,"Creature - Human Cleric",W,"m21","4",common,w,"Not Owned",Non-foil,false,,"","Angels","",81235,
"Angelic Page",2,"Creature - Angel Spirit",W,"jmp","88",common,w,"Not Owned",Non-foil,false,,"","Angels","",,
"Bishop of Wings",2,"Creature - Human Cleric",W,"m20","8",rare,w,"Not Owned",Non-foil,false,,"","Angels","",72915,
"Celestial Enforcer",3,"Creature - Human Cleric",W,"m21","11",common,w,"Not Owned",Non-foil,false,,"","Angels","",81249,
"Emancipation Angel",3,"Creature - Angel",W,"uma","15",uncommon,w,"Not Owned",Non-foil,false,,"","Angels","",70103,
"Seraph of Dawn",4,"Creature - Angel",W,"avr","35",common,w,"Not Owned",Non-foil,false,,"","Angels","",43989,
"Baneslayer Angel",5,"Creature - Angel",W,"m21","6",mythic,w,"Not Owned",Non-foil,false,,"","Angels","",81239,
"Serra Angel",5,"Creature - Angel",W,"ima","30",uncommon,w,"Not Owned",Non-foil,false,,"","Angels","",65939,
"Angelic Ascension",2,"Instant",W,"m21","3",uncommon,w,"Not Owned",Non-foil,false,,"","Angels","",81233,
"Angelic Edict",5,"Sorcery",W,"gtc","2",common,w,"Not Owned",Non-foil,false,,"","Angels","",47501,
"Scroll of Avacyn",1,"Artifact",,"jmp","483",common,c,"Not Owned",Non-foil,false,,"","Angels","",,
"Guardian Idol",2,"Artifact",,"jmp","467",uncommon,c,"Not Owned",Non-foil,false,,"","Angels","",,
"Thriving Heath",0,"Land",W,"jmp","35",common,l,"Not Owned",Non-foil,false,,"","Angels","",,
"Corridor Monitor",2,"Artifact Creature - Construct",U,"eld","41",common,u,"Not Owned",Non-foil,false,,"","Artificers","",78186,
"Aviation Pioneer",3,"Creature - Human Artificer",U,"m19","46",common,u,"Not Owned",Non-foil,false,,"","Artificers","",68253,
"Grand Architect",3,"Creature - Vedalken Artificer",U,"2xm","53",rare,u,"Not Owned",Non-foil,false,,"","Artificers","",82140,
"Skyscanner",3,"Artifact Creature - Thopter",,"m19","245",common,c,"Not Owned",Non-foil,false,,"","Artificers","",68653,
"Whirler Rogue",4,"Creature - Human Rogue Artificer",U,"gnt","25",uncommon,u,"Not Owned",Non-foil,false,,"","Artificers","",,
"Gearsmith Guardian",5,"Artifact Creature - Construct",,"m19","237",common,c,"Not Owned",Non-foil,false,,"","Artificers","",68637,
"Sharding Sphinx",6,"Artifact Creature - Sphinx",U,"ala","55",rare,u,"Not Owned",Non-foil,false,,"","Artificers","",30947,
"Meteor Golem",7,"Artifact Creature - Golem",,"m19","241",uncommon,c,"Not Owned",Non-foil,false,,"","Artificers","",68645,
"Thirst for Knowledge",3,"Instant",U,"mrd","53",uncommon,u,"Not Owned",Non-foil,false,,"","Artificers","",19705,
"Aether Spellbomb",1,"Artifact",U,"mma","196",common,u,"Not Owned",Non-foil,false,,"","Artificers","",48916,
